program,course_id,course_name,term,class_type,prerequisite,transcript_hours,duration,Start,End,Cap
PCOM,PCOM 0101,Business Writing I,1,1,,35,1.5,8,17,0
PCOM,PCOM 0105,Intercultural Communication Skills,1,1,,35,1.5,8,17,0
PCOM,PCOM 0107,"Technical Development I: Microsoft Word, Excel and Power Point",1,2,,18,3,8,17,0
PCOM,CMSK 0233,MS Project Essentials,1,2,,7,3,8,17,0
PCOM,CMSK 0235,MS Visio Essentials,1,2,,6,3,8,17,0
PCOM,PCOM 0102,Business Writing II,2,1,,35,1.5,8,17,0
PCOM,PCOM 0201,Fundamentals of Public Speaking,2,1,,35,1.5,8,17,0
PCOM,PCOM 0108,"Technical Development II; Microsoft Word, Excel and Power Point",2,2,,18,3,8,17,0
PCOM,PCOM 0202,Advanced Business Presentation,3,1,,33,1.5,8,17,0
PCOM,PCOM 0103,Canadian Workplace Culture,3,1,,35,1.5,8,17,0
PCOM,PCOM 0109-1,The Job Hunt in Canada - Lecture,3,4,,2,2,8,17,0
PCOM,PCOM 0109-2,The Job Hunt in Canada - Module 1,3,4,PCOM 0109-1,8,2,8,17,0
PCOM,PCOM 0109-3,The Job Hunt in Canada - Module 2,3,4,PCOM 0109-2,6,2,8,17,0
BCOM,PCOM 0203," Effective Professional Writing; Reports, Proposals, Plans and More.",1,1,,15,1.5,8,17,0
BCOM,SUPR 0751,Fundamentals of Management and Supervision,1,1,,7,2,8,17,0
BCOM,PCOM 0204,Business Persuasion and Research,1,1,,35,1.5,8,17,0
BCOM,CMSK 0237,Google Suite Essentials,1,3,,12,1.5,8,17,0
BCOM,SUPR 0837,Building an Engaged Workforce,1,1,,7,2,8,17,0
BCOM,SUPR 0841,Change Management Fundamentals,1,1,,35,2,8,17,0
BCOM,SUPR 0821,Foundations of Leadership I,2,1,,7,2,8,17,0
BCOM,SUPR 0822,Foundations of Leadership II,2,1,,7,2,8,17,0
BCOM,SUPR 0718,Coaching for Performance,2,1,,7,2,8,17,0
BCOM,SUPR 0836,Hiring for success,2,1,,7,2,8,17,0
BCOM,AVDM 0199,Digital Marketing  101,2,3,,3,2,8,17,0
BCOM,PCOM 0106,Operations Management,2,1,,35,2,8,17,0
BCOM,PCOM 0205,Fundamentals of Agile Methdology,3,1,,30,3,8,17,0
BCOM,PCOM TBD,Story Telling,3,1,,21,1.5,8,17,0
BCOM,PCOM 0207,Developing Your Emotional Intelligence,3,1,,6,2,8,17,0
BCOM,AVDM 0260,WordPress for Web Page Publishing ,3,3,,6,1.5,8,17,0
PM,PRDV 0201,The Basics of Project Management,1,1,,21,1.5,8,17,0
PM,PRDV 0202,Project Scope and Quality,1,1,,14,1.5,8,17,0
